
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
Population's average fitness: 22.36561 stdev: 3.65800
Best fitness: 33.00000 - size: (6, 24) - species 17 - id 2374
Average adjusted fitness: 0.516
Mean genetic distance 3.190, standard deviation 0.249
Population of 797 members in 136 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    4     6     25.0    0.600     4
     2    4     6     30.0    0.536     2
     3    4     5     24.0    0.455     4
     4    4     8     27.0    0.510     3
     5    4     6     28.0    0.506     4
     6    4     7     29.0    0.568     0
     7    4     6     26.0    0.390     3
     8    4     6     27.0    0.455     2
     9    4     6     24.0    0.403     2
    10    4     5     26.0    0.500     4
    11    4     5     29.0    0.402     0
    12    4     7     26.0    0.530     4
    13    4     7     28.0    0.614     3
    14    4     7     30.0    0.485     2
    15    4     9     32.0    0.710     4
    16    4     5     29.0    0.523     4
    17    4     6     33.0    0.461     0
    18    4     7     31.0    0.621     0
    19    4     4     24.0    0.436     2
    20    4     6     27.0    0.494     1
    21    4     5     25.0    0.439     3
    22    4     7     26.0    0.455     1
    23    4     6     26.0    0.555     2
    24    4     5     27.0    0.545     0
    25    4     5     26.0    0.636     0
    26    4     5     25.0    0.477     2
    27    4     8     29.0    0.621     3
    28    4     6     28.0    0.500     0
    29    4     6     29.0    0.455     0
    30    4     5     27.0    0.591     3
    31    4     6     27.0    0.618     3
    32    4     5     27.0    0.447     2
    33    4     6     27.0    0.532     3
    34    4     6     30.0    0.545     0
    35    4     5     23.0    0.447     2
    36    4     6     27.0    0.482     2
    37    4     6     23.0    0.500     3
    38    4     7     29.0    0.530     0
    39    4     7     28.0    0.598     3
    40    4     6     26.0    0.591     0
    41    4     6     26.0    0.545     3
    42    4     7     27.0    0.598     2
    43    4     6     26.0    0.481     1
    44    4     6     25.0    0.455     1
    45    4     5     24.0    0.439     3
    46    4     5     29.0    0.511     2
    47    4     6     28.0    0.571     1
    48    4     7     27.0    0.561     1
    49    4     7     32.0    0.699     0
    50    4     6     31.0    0.519     0
    51    4     6     27.0    0.500     1
    52    4     7     27.0    0.621     3
    53    4     5     24.0    0.409     2
    54    4     4     26.0    0.500     2
    55    4     6     29.0    0.545     3
    56    4     6     28.0    0.518     1
    57    4     5     25.0    0.477     3
    58    4     5     27.0    0.506     2
    59    4     5     26.0    0.477     3
    60    4     6     32.0    0.584     0
    61    4     5     25.0    0.485     3
    62    4     5     29.0    0.500     2
    63    4     6     25.0    0.473     1
    64    4     6     29.0    0.573     1
    65    4     6     29.0    0.573     2
    66    4     5     25.0    0.523     3
    67    4     6     25.0    0.564     2
    68    4     5     29.0    0.515     3
    69    4     5     24.0    0.432     1
    70    4     6     23.0    0.464     3
    71    4     4     24.0    0.373     3
    72    4     7     26.0    0.598     1
    73    4     6     24.0    0.527     3
    74    4     8     26.0    0.534     2
    75    4     5     24.0    0.470     2
    76    4     4     23.0    0.418     1
    77    4     5     26.0    0.580     2
    78    4     5     24.0    0.447     1
    79    4     6     31.0    0.591     0
    80    4     6     26.0    0.500     2
    81    4     5     25.0    0.379     3
    82    4     5     27.0    0.591     0
    83    4     3     21.0    0.394     3
    84    4     6     25.0    0.518     2
    85    4     7     27.0    0.545     2
    86    4     6     26.0    0.500     1
    87    4     5     24.0    0.530     3
    88    4     6     24.0    0.482     3
    89    4     7     28.0    0.545     2
    90    4     6     26.0    0.573     3
    91    4     5     31.0    0.477     0
    92    4     5     27.0    0.523     2
    93    4     5     26.0    0.477     1
    94    4     5     26.0    0.600     2
    95    4     7     30.0    0.494     1
    96    4     5     26.0    0.545     3
    97    4     6     28.0    0.648     0
    98    4     5     23.0    0.447     3
    99    4     6     26.0    0.545     3
   100    4     6     25.0    0.526     2
   101    4     4     28.0    0.364     2
   102    4     5     30.0    0.455     0
   103    4     6     29.0    0.482     0
   104    4     7     28.0    0.583     0
   105    4     5     23.0    0.417     1
   106    4     6     23.0    0.473     2
   107    4     6     26.0    0.527     3
   108    4     7     28.0    0.568     1
   109    4     6     23.0    0.390     3
   110    4     5     25.0    0.492     0
   111    4     7     28.0    0.644     1
   112    4     7     29.0    0.614     2
   113    4     6     27.0    0.564     1
   114    4     7     27.0    0.585     1
   115    4     6     27.0    0.564     3
   116    4     6     28.0    0.513     2
   117    4     6     29.0    0.519     2
   118    4     6     32.0    0.545     0
   119    4     7     29.0    0.561     1
   120    4     5     23.0    0.379     1
   121    4     7     27.0    0.489     2
   122    4     6     27.0    0.526     2
   123    4     6     29.0    0.655     0
   124    4     7     26.0    0.455     3
   125    4     7     27.0    0.561     2
   126    3     5     26.0    0.432     1
   127    3     5     24.0    0.500     2
   128    3     8     29.0    0.518     0
   129    3     6     30.0    0.573     0
   130    3     5     26.0    0.477     1
   131    3     5     25.0    0.492     1
   132    3     7     28.0    0.534     0
   133    3     8     29.0    0.568     0
   134    3     6     26.0    0.518     2
   135    2     6     25.0    0.518     1
   136    1     3     20.0    0.409     0
Total extinctions: 0
Generation time: 11.043 sec (10.821 average)
Saving checkpoint to neat-checkpoint-4

 ****** Running generation 5 ****** 

Population's average fitness: 22.04768 stdev: 3.44489
Best fitness: 32.00000 - size: (6, 25) - species 9 - id 3223
Average adjusted fitness: 0.527
Mean genetic distance 3.191, standard deviation 0.251
Population of 800 members in 136 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    5     7     27.0    0.556     5
     2    5     5     24.0    0.413     3
     3    5     6     28.0    0.600     5
     4    5     7     27.0    0.560     4
     5    5     7     28.0    0.556     5
     6    5     6     28.0    0.510     1
     7    5     5     25.0    0.452     4
     8    5     5     29.0    0.452     3
     9    5     7     32.0    0.603     0
    10    5     6     26.0    0.543     5
    11    5     6     26.0    0.533     1
    12    5     6     27.0    0.449     5
    13    5     6     27.0    0.517     4
    14    5     6     29.0    0.517     3
    15    5     8     30.0    0.598     5
    16    5     6     28.0    0.590     5
    17    5     5     26.0    0.444     1
    18    5     6     26.0    0.490     1
    19    5     5     26.0    0.500     3
    20    5     5     26.0    0.532     2
    21    5     4     23.0    0.438     4
    22    5     6     26.0    0.503     2
    23    5     5     22.0    0.421     3
    24    5     6     26.0    0.676     1
    25    5     6     28.0    0.543     0
    26    5     6     30.0    0.571     3
    27    5     7     28.0    0.542     4
    28    5     5     28.0    0.500     1
    29    5     7     28.0    0.556     1
    30    5     6     27.0    0.505     4
    31    5     5     23.0    0.460     4
    32    5     6     29.0    0.619     3
    33    5     5     23.0    0.484     4
    34    5     7     25.0    0.540     1
    35    5     6     26.0    0.533     3
    36    5     5     24.0    0.500     3
    37    5     7     29.0    0.571     0
    38    5     6     28.0    0.517     1
    39    5     6     26.0    0.537     4
    40    5     7     28.0    0.563     0
    41    5     5     27.0    0.452     4
    42    5     6     24.0    0.476     3
    43    5     5     23.0    0.397     2
    44    5     7     29.0    0.651     2
    45    5     6     25.0    0.495     4
    46    5     6     25.0    0.495     3
    47    5     5     25.0    0.484     2
    48    5     6     26.0    0.605     2
    49    5     6     30.0    0.517     1
    50    5     5     29.0    0.492     1
    51    5     7     28.0    0.603     2
    52    5     6     24.0    0.510     4
    53    5     6     27.0    0.590     3
    54    5     5     24.0    0.488     3
    55    5     7     27.0    0.548     4
    56    5     5     29.0    0.524     0
    57    5     6     28.0    0.610     0
    58    5     6     23.0    0.505     3
    59    5     4     24.0    0.438     4
    60    5     5     28.0    0.500     1
    61    5     4     25.0    0.438     4
    62    5     6     27.0    0.524     3
    63    5     5     24.0    0.508     2
    64    5     7     25.0    0.540     2
    65    5     7     27.0    0.540     3
    66    5     6     25.0    0.505     4
